Product Name,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-06,2021-11-07,2021-11-08,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-12-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22
SPAR CANOLA OIL 2L 2L,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49
CLOVER MILK UHT F/C  PRIS 1L,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
A/SCENTS AUTO REF WILD AP 250ML,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99
A/G JAM S/FINE APRICT 450G,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99
SURF HANDWASH FLEXI 3KG,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99
CLASSIC YOG VAN CREMES 6'S,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99
C/FAIR C/BLEU STEAKLETS 360GR,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99
CLOVER CHEDDAR PROC IWS 810GR,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99
CADBURY SLAB BISCUIT 80GR,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
CLOVER MILK UHT F/C  PRIS 1L,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
FERRERO ROCHER T30 375GM,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45,161.45
C/FRESH I/CRM NEAPOLITAN 2LT,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,55.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99
CLOVER KRUSH 100% 6 FRTS&WHEAT 1.5L,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99
KOO BAKED BEANS TOM&HERB 410GR,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
SPAR SUGAR BROWN POLYETHYLENE 2KG,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99,38.99
SELATI WHITE SUGAR  KKVI 2.5KG,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
G/CLOUD CAKE FLOUR PAP 2.5KG,30.99,30.99,30.99,30.99,30.99,30.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99,33.99
S/COATING ORIGINAL 200GR,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99
COKE 2LT,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49
SPAR XL GRAIN FED EGGS 18'S,31.99,31.99,31.99,39.99,39.99,39.99,39.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,39.99,39.99,39.99,39.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,39.99,39.99,39.99,39.99,39.99
B/SOFT T/PAPER WHITE 2PLY 18'S,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99
J&J BABY POWDER. 400G,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99
RAINBOW CHICKEN LIVER TUBS 250GR,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,10.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99
SPAR IQF CHKN MIX PORTION 5KG,149.99,149.99,149.99,149.99,149.99,149.99,159.99,189.99,189.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,169.99,169.99,169.99,169.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99
SPAR TUNA SHREDDED BRINE 170GR,15.99,15.99,15.99,15.99,15.99,15.99,15.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,14.99,14.99,14.99,14.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
SPAR TUNA SHREDDED BRINE 170GR,15.99,15.99,15.99,15.99,15.99,15.99,15.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,14.99,14.99,14.99,14.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
B/BRAND CORNED MEAT IN CEREAL 300GR,24.99,24.99,24.99,24.99,24.99,24.99,24.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99
SPAR PILCHARDS IN TOMATO 400GR,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99
LUCKYSTAR PILCHARDS TOMATO 400GR,18.99,18.99,18.99,18.99,18.99,18.99,18.99,21.99,21.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99
G/L COUNTER BK 1QU A4 96P 1S,,,,,,,,,,,,,,17.99,17.99,17.99,17.99,17.99,10.99,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
HTH  4 WEEKS CLEAR 1.2KG,,,,,,,,,,,,,,129.99,129.99,129.99,129.99,132.99,132.99,132.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
ACADEMY SHOEBRSH BLACK 1S,,,,,,,,,,,,,,11.99,11.99,11.99,11.99,11.99,11.99,11.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
F/L ROTI 6'S,,,,,,,,,,,,,,36.99,36.99,36.99,36.99,36.99,36.99,36.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
F/L WHITE TOASTER 700GR,,,,,,,,,,,,,,12.99,12.99,12.99,12.99,12.99,12.99,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
FRESH BAKE PREMIUM BROWN 700G 700G,,,,,,,,,,,,,,11.99,11.99,11.99,11.99,11.99,11.99,11.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
SASKO BRD WHT LW GI AIO 700GR,,,,,,,,,,,,,,18.49,18.49,18.49,18.49,18.49,18.49,18.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
FRESHLINE BANANA BAG 750gr,,,,,,,,,,,,,,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99
FRESHLINE POTATOES 2KG,,,,,,,,,,,,,,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99
FRESHLINE CARROTS 1KG,,,,,,,,,,,,,,9.99,9.99,9.99,9.99,7.49,7.49,7.49,7.49,7.49,9.99,9.99,9.99,9.99,9.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99
FRESHLINE ONIONS UNPEELED 1KG,,,,,,,,,,,,,,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99
FRESHLINE CRISP LETTUCE HEADS 1HEAD,,,,,,,,,,,,,,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,9.99,9.99,9.99,14.99,14.99,14.99,14.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,14.99,14.99,14.99,14.99,14.99,14.99,9.99
FRESHLINE POTATOES 4KG,,,,,,,,,,,,,,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,69.99,69.99,69.99,45.99,45.99,45.99,45.99,45.99,45.99,72.99,72.99,72.99,72.99,72.99,52.0,52.0,52.0,52.0,52.0,52.0,52.0
FRESHLINE GREEN BEANS 350G,,,,,,,,,,,,,,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
FRESHLINE CHERRY TOMATOES 250G,,,,,,,,,,,,,,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
FRESHLINE GREEN PEPPERS 2'S,,,,,,,,,,,,,,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99
FRESHLINE PORTABELLINI MUSHROOM 250GR,,,,,,,,,,,,,,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
COCA COLA ORIGINAL 2LT,,,,,,,,,,,,,,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49
SPARLETTA CREME SODA 2LT,,,,,,,,,,,,,,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99
COCA COLA ORIGINAL 1.5LT,,,,,,,,,,,,,,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,16.49,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
SPAR COCO PINE FLAVOURED SOFT DRINK 2LT,,,,,,,,,,,,,,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99
CROWN BBQ SIX GUN GRILL 200GR,,,,,,,,,,,,,,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99
ESKORT RUSSIANS 500GR,,,,,,,,,,,,,,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99,54.99
SPAR COLD MEAT BACON&CHSE 200GR,,,,,,,,,,,,,,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99
SPAR POLONY FRENCH 1KG,,,,,,,,,,,,,,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99
F/L HAMBURGER ROLLS 6'S,,,,,,,,,,,,,,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99
JACOBS KRONUNG RICH AROMA 200GR,,,,,,,,,,,,,,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99
